Team,autoBoulderPoints,autoBouldersHigh,autoBouldersLow,autoCrossingPoints,autoPoints,autoReachPoints,defenseCrosses,foulCount,techFoulCount,teleopBoulderPoints,teleopBouldersHigh,teleopBouldersLow,teleopChallengePoints,teleopCrossingPoints,teleopDefensesBreached,teleopPoints,teleopScalePoints,teleopTowerCaptured,teleopTowerFacesChallenged,teleopTowerFacesScaled,totalPoints
16,1.67,0.16,0.02,7.92,9.79,0.21,3.27,0.35,0.31,16.69,3.32,0.05,2.03,12.37,0.11,34.23,3.14,0.26,0.4,0.2,45.08
20,1.7,0.18,-0.02,1.24,3.56,0.62,2.38,0.39,-0.16,8.26,1.81,-0.39,3.84,11.3,0.23,22.66,-0.75,-0.02,0.77,-0.05,27.07
27,3.62,0.3,0.12,9.88,13.33,-0.17,3.51,0.26,-0.23,3.19,0.52,0.29,4.74,12.59,0.41,25.72,5.19,0.09,0.83,0.23,37.88
33,4.61,0.45,0.01,8.95,13.64,0.08,2.86,0.13,0.01,21.06,4.3,-0.22,1.06,9.82,0.36,41.44,9.5,0.02,0.23,0.65,55.63
45,1.95,0.24,-0.1,4.2,7.09,0.94,2.76,0.26,0.05,20.21,3.75,0.74,5.89,11.68,0.45,37.55,-0.23,0.55,1.17,-0.02,45.61
67,8.34,0.87,-0.07,10.05,17.89,-0.5,2.83,0.3,0.13,27.56,5.56,-0.12,1.38,9.14,0.32,50.16,12.07,0.45,0.27,0.8,68.21
71,0.63,-0.12,0.36,5.73,6.77,0.41,2.5,0.13,-0.1,12.65,1.59,2.36,2.18,9.62,0.34,28.15,3.69,0.13,0.43,0.24,33.35
118,8.86,0.85,0.07,11.84,20.27,-0.43,2.81,-0.3,-0.1,26.32,5.37,-0.26,1.99,8.12,0.34,45.96,9.54,0.31,0.4,0.64,68.96
133,6.36,0.65,-0.04,11.91,18.03,-0.23,2.76,0.41,-0.0,28.7,6.07,-0.81,1.33,7.86,0.4,46.01,8.12,0.04,0.26,0.54,64.42
179,6.53,0.73,-0.15,5.84,12.51,0.14,2.51,0.31,0.32,25.85,5.04,0.32,0.91,9.63,0.35,47.05,10.66,0.46,0.2,0.73,62.95
195,9.24,0.92,0.01,9.67,19.17,0.25,2.72,0.02,0.15,36.43,7.08,0.51,3.74,8.77,0.35,55.79,6.85,0.63,0.76,0.47,75.08
217,6.19,0.6,0.04,9.64,15.88,0.04,2.94,0.07,0.2,25.15,5.08,-0.12,3.33,9.88,0.31,42.6,4.23,0.18,0.66,0.27,62.7
225,6.74,0.65,0.04,10.4,16.97,-0.17,2.77,-0.03,-0.08,29.29,5.63,0.56,-0.35,8.67,0.37,49.21,11.6,0.1,-0.07,0.77,68.36
233,-0.91,-0.21,0.24,8.96,7.91,-0.15,2.75,0.91,-0.2,3.99,0.0,1.99,4.57,9.29,0.39,15.55,-2.3,0.01,0.92,-0.15,22.83
234,1.27,0.13,0.0,7.25,9.0,0.47,2.66,0.36,0.21,12.75,1.8,1.87,-0.63,9.67,0.28,31.97,10.18,0.2,-0.11,0.69,41.11
245,-3.37,-0.32,-0.04,11.16,7.57,-0.21,2.66,0.01,-0.09,15.41,3.11,-0.07,2.87,7.72,0.34,27.28,1.28,-0.03,0.47,-0.02,34.02
330,4.78,0.5,-0.05,10.73,15.58,0.07,2.27,0.19,0.32,24.16,5.28,-1.11,2.46,5.99,0.2,41.61,9.0,0.16,0.49,0.6,60.38
461,0.01,0.0,-0.0,2.4,3.14,0.72,2.53,0.35,0.44,14.47,2.77,0.3,4.61,11.46,0.27,26.08,-4.46,-0.03,0.92,-0.3,29.17
494,6.14,0.64,-0.05,9.62,15.42,-0.34,2.92,0.25,-0.05,10.33,1.91,0.4,4.45,9.78,0.41,27.49,2.93,0.12,0.89,0.19,42.76
503,1.32,0.16,-0.06,9.61,11.07,0.14,2.71,-0.09,-0.15,30.23,6.15,-0.25,3.44,8.76,0.35,47.82,5.39,0.22,0.68,0.35,57.71
624,-2.21,-0.19,-0.06,2.73,1.62,1.11,2.86,-0.09,0.22,22.84,4.32,0.61,6.24,12.95,0.35,37.4,-4.63,0.44,1.25,-0.31,41.71
868,5.9,0.44,0.31,6.79,12.98,0.28,2.32,-0.24,0.13,33.25,6.93,-0.69,2.93,8.19,0.21,47.33,2.96,0.21,0.59,0.2,62.49
910,6.05,0.63,-0.04,7.7,13.97,0.21,2.26,-0.17,0.06,8.6,1.61,0.27,3.82,7.43,0.25,19.02,-0.84,-0.05,0.76,-0.06,35.57
1023,-1.85,-0.14,-0.1,11.6,9.94,0.19,2.73,-0.04,0.1,24.05,4.56,0.62,-0.42,7.86,0.39,45.14,13.64,-0.02,-0.09,0.9,54.74
1024,8.02,0.71,0.18,6.03,14.87,0.82,2.86,0.04,0.38,17.81,3.38,0.45,6.52,11.28,0.34,34.71,-0.89,0.33,1.31,-0.05,50.92
1058,0.78,0.09,-0.02,10.06,11.0,0.16,2.76,0.16,0.37,11.53,2.58,-0.7,1.54,8.76,0.4,30.86,9.04,-0.13,0.3,0.6,42.87
1086,1.58,0.15,0.02,9.14,10.69,-0.03,2.96,0.45,0.17,21.3,3.85,1.03,2.32,10.22,0.32,36.06,2.22,0.03,0.46,0.14,48.29
1114,8.43,0.85,-0.02,12.74,21.19,0.03,2.67,-0.23,-0.17,25.69,5.13,0.01,1.92,6.97,0.38,48.0,13.41,0.62,0.4,0.91,73.34
1241,5.03,0.55,-0.09,11.26,16.09,-0.2,2.26,0.35,0.62,31.76,6.48,-0.33,4.29,5.65,0.33,37.72,-3.98,0.35,0.88,-0.25,57.02
1257,0.49,-0.03,0.17,9.78,10.27,-0.0,2.65,0.5,-0.27,9.84,0.11,4.65,3.05,8.38,0.33,26.52,5.25,0.25,0.6,0.34,37.45
1310,5.46,0.59,-0.09,5.64,11.16,0.06,2.86,0.82,0.11,10.22,1.81,0.57,4.69,11.49,0.34,30.08,3.69,0.27,0.94,0.24,41.99
1405,1.29,0.17,-0.08,7.77,9.8,0.73,2.86,0.42,-0.16,5.8,1.36,-0.5,3.88,10.43,0.35,17.18,-2.92,-0.17,0.79,-0.18,29.7
1511,0.65,0.01,0.1,10.22,11.03,0.16,2.93,0.04,-0.01,6.51,0.01,3.23,5.11,9.55,0.33,20.35,-0.83,0.29,1.04,-0.03,30.56
1529,-1.39,-0.11,-0.05,9.29,7.83,-0.08,2.13,0.41,0.16,7.48,-0.1,3.98,3.16,5.99,0.14,20.13,3.49,0.08,0.62,0.22,28.26
1619,7.67,0.7,0.13,9.37,17.23,0.2,2.81,-0.01,0.19,24.6,4.83,0.22,1.71,9.34,0.38,43.42,7.77,0.4,0.35,0.53,62.95
