Team,autoBoulderPoints,autoBouldersHigh,autoBouldersLow,autoCrossingPoints,autoPoints,autoReachPoints,defenseCrosses,foulCount,techFoulCount,teleopBoulderPoints,teleopBouldersHigh,teleopBouldersLow,teleopChallengePoints,teleopCrossingPoints,teleopDefensesBreached,teleopPoints,teleopScalePoints,teleopTowerCaptured,teleopTowerFacesChallenged,teleopTowerFacesScaled,totalPoints
20,-0.34,-0.07,0.07,10.3,9.97,0.01,2.91,0.55,-0.01,12.29,1.14,3.3,6.54,9.39,0.48,26.34,-1.88,0.36,1.31,-0.13,39.37
73,-1.21,-0.1,-0.04,-2.5,-3.35,0.37,1.53,0.11,-0.11,-0.12,-0.03,0.02,2.54,8.88,0.04,8.63,-2.67,-0.02,0.51,-0.18,5.14
174,0.8,0.11,-0.06,4.77,5.77,0.2,2.21,0.56,-0.15,1.56,0.21,0.25,2.42,8.68,-0.06,17.27,4.61,-0.04,0.48,0.31,23.01
191,0.71,0.09,-0.03,7.34,8.52,0.47,2.68,-0.11,-0.09,9.02,1.56,0.62,3.81,9.72,0.36,20.77,-1.78,0.02,0.76,-0.12,29.13
250,-0.56,-0.05,-0.01,8.49,8.13,0.21,2.76,0.05,0.06,2.02,0.2,0.51,6.02,9.56,0.23,16.77,-0.83,-0.12,1.2,-0.06,30.79
271,-0.59,-0.04,-0.04,5.84,5.35,0.1,3.47,0.25,-0.19,0.52,0.11,-0.01,5.54,14.42,0.32,19.56,-0.92,-0.07,1.11,-0.06,25.69
340,6.31,0.62,0.02,0.92,7.29,0.06,3.58,0.06,0.1,6.76,0.24,2.78,4.55,17.43,0.5,30.23,1.48,0.27,0.91,0.1,37.77
378,0.91,0.06,0.06,8.82,9.88,0.15,2.97,-0.15,0.16,5.75,-0.19,3.35,3.44,10.44,0.17,20.56,0.93,0.13,0.69,0.06,35.78
395,0.93,0.06,0.08,9.35,10.07,-0.21,2.82,0.19,0.26,2.77,-0.47,2.55,2.53,9.41,0.32,13.98,-0.73,0.05,0.51,-0.05,25.08
578,1.19,0.04,0.17,9.97,11.52,0.37,3.58,0.02,0.25,7.97,0.28,3.29,4.71,12.9,0.37,27.36,1.78,0.04,0.94,0.12,39.01
639,1.79,-0.04,0.44,8.86,10.8,0.15,2.53,0.06,0.06,6.17,-0.12,3.4,2.35,8.21,0.25,24.98,8.25,0.37,0.47,0.55,36.24
810,-0.03,-0.03,0.05,6.5,6.89,0.42,2.46,0.05,-0.09,6.01,0.16,2.6,5.31,9.07,0.3,21.01,0.61,0.22,1.06,0.04,28.58
1126,2.3,0.23,-0.0,2.71,6.09,1.07,2.82,-0.08,0.14,5.42,0.03,2.64,4.86,12.73,0.33,22.26,-0.75,0.11,0.97,-0.05,27.75
